[2026-04-23 09:51:53] Queue watcher started. Waiting on PID 20049 for current parity+NoPE+Ponder run.
[2026-04-23 11:24:54] Detected current NoPE run has finished. Launching parity+WPE-once+Ponder with n_steps=20.
Launching WPE-once Ponder run: {'task': 'parity', 'output_root': '/data/yizhou/looped-tf-length-generalization/models/wpe_once_baselines', 'seed': 42, 'beta': 0.01, 'prior_lambda': 0.2, 'dynamic_n': False, 'n_steps': 20, 'use_wpe': True, 'wpe_mode': 'once', 'use_rope': False}

  0%|          | 0/100001 [00:00<?, ?it/s]
loss=2.2107 rec=2.2054 kl=0.5324 n_points=2:   0%|          | 0/100001 [00:01<?, ?it/s]
loss=2.2107 rec=2.2054 kl=0.5324 n_points=2:   0%|          | 1/100001 [00:01<41:30:12,  1.49s/it]
loss=1.8229 rec=1.8177 kl=0.5242 n_points=2:   0%|          | 1/100001 [00:01<41:30:12,  1.49s/it]
loss=0.0026 rec=0.0024 kl=0.0266 n_points=2:   0%|          | 31/100001 [00:03<1:45:46, 15.75it/s]
loss=0.0026 rec=0.0024 kl=0.0266 n_points=2:   0%|          | 33/100001 [00:03<1:52:12, 14.85it/s]
loss=0.0026 rec=0.0023 kl=0.0265 n_points=2:   0%|          | 33/100001 [00:03<1:52:12, 14.85it/s]
loss=0.0025 rec=0.0022 kl=0.0247 n_points=2:   0%|          | 33/100001 [00:03<1:52:12, 14.85it/s]
loss=0.0025 rec=0.0022 kl=0.0247 n_points=2:   0%|          | 35/100001 [00:03<1:52:32, 14.80it/s]
loss=0.0024 rec=0.0022 kl=0.0224 n_points=2:   0%|          | 35/100001 [00:03<1:52:32, 14.80it/s]
loss=0.0023 rec=0.0021 kl=0.0198 n_points=2:   0%|          | 35/100001 [00:03<1:52:32, 14.80it/s]
loss=0.0023 rec=0.0021 kl=0.0198 n_points=2:   0%|          | 37/100001 [00:03<1:58:51, 14.02it/s]
loss=0.0022 rec=0.0020 kl=0.0178 n_points=2:   0%|          | 37/100001 [00:03<1:58:51, 14.02it/s]
loss=0.0020 rec=0.0019 kl=0.0150 n_points=2:   0%|          | 37/100001 [00:03<1:58:51, 14.02it/s]
loss=0.0020 rec=0.0019 kl=0.0150 n_points=2:   0%|          | 39/100001 [00:03<1:54:06, 14.60it/s]
loss=0.0020 rec=0.0018 kl=0.0154 n_points=2:   0%|          | 39/100001 [00:04<1:54:06, 14.60it/s]
loss=0.0019 rec=0.0017 kl=0.0157 n_points=2:   0%|          | 39/100001 [00:04<1:54:06, 14.60it/s]
loss=0.0019 rec=0.0017 kl=0.0157 n_points=2:   0%|          | 41/100001 [00:04<1:57:53, 14.13it/s]
loss=0.0018 rec=0.0017 kl=0.0170 n_points=2:   0%|          | 41/100001 [00:04<1:57:53, 14.13it/s]
loss=0.0018 rec=0.0016 kl=0.0190 n_points=2:   0%|          | 41/100001 [00:04<1:57:53, 14.13it/s]
loss=0.0018 rec=0.0016 kl=0.0190 n_points=2:   0%|          | 43/100001 [00:04<1:52:24, 14.82it/s]
loss=0.0017 rec=0.0015 kl=0.0206 n_points=2:   0%|          | 43/100001 [00:04<1:52:24, 14.82it/s]
loss=0.0017 rec=0.0014 kl=0.0239 n_points=2:   0%|          | 43/100001 [00:04<1:52:24, 14.82it/s]
loss=0.0017 rec=0.0014 kl=0.0239 n_points=2:   0%|          | 45/100001 [00:04<1:48:33, 15.35it/s]
loss=0.0016 rec=0.0014 kl=0.0261 n_points=2:   0%|          | 45/100001 [00:04<1:48:33, 15.35it/s]
